,_id,protocol,hpfeed_id,timestamp,source_ip,destination_ip,identifier,honeypot,type
640,ObjectId(5e280b0d3186f205962b07c8),ICMP,ObjectId(5e280b093186f205962b0370),2020-01-22T08:42:49.238Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
642,ObjectId(5e280b0d3186f205962b07ca),ICMP,ObjectId(5e280b093186f205962b036b),2020-01-22T08:42:49.226Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
647,ObjectId(5e280b0d3186f205962b07cf),ICMP,ObjectId(5e280b093186f205962b035d),2020-01-22T08:42:49.183Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
655,ObjectId(5e280b0d3186f205962b07d7),ICMP,ObjectId(5e280b093186f205962b0349),2020-01-22T08:42:49.129Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
665,ObjectId(5e280b0d3186f205962b07e1),ICMP,ObjectId(5e280b093186f205962b032a),2020-01-22T08:42:49.062Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
671,ObjectId(5e280b0d3186f205962b07e7),ICMP,ObjectId(5e280b093186f205962b031b),2020-01-22T08:42:49.033Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
689,ObjectId(5e280b0d3186f205962b07fd),ICMP,ObjectId(5e280b083186f205962b02ef),2020-01-22T08:42:48.933Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
692,ObjectId(5e280b0d3186f205962b0802),ICMP,ObjectId(5e280b083186f205962b02e8),2020-01-22T08:42:48.917Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
705,ObjectId(5e280b0d3186f205962b0818),ICMP,ObjectId(5e280b083186f205962b02c7),2020-01-22T08:42:48.852Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
714,ObjectId(5e280b0d3186f205962b0826),ICMP,ObjectId(5e280b083186f205962b02b1),2020-01-22T08:42:48.804Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
729,ObjectId(5e280b0e3186f205962b08fd),ICMP,ObjectId(5e280b0e3186f205962b08f5),2020-01-22T08:42:54.809Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
737,ObjectId(5e280b0e3186f205962b090b),ICMP,ObjectId(5e280b0e3186f205962b08ed),2020-01-22T08:42:54.726Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
742,ObjectId(5e280b0e3186f205962b0913),ICMP,ObjectId(5e280b0e3186f205962b08e8),2020-01-22T08:42:54.683Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
745,ObjectId(5e280b0e3186f205962b0918),ICMP,ObjectId(5e280b0e3186f205962b08e5),2020-01-22T08:42:54.662Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
763,ObjectId(5e280b0f3186f205962b0936),ICMP,ObjectId(5e280b0e3186f205962b08d3),2020-01-22T08:42:54.529Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
764,ObjectId(5e280b0f3186f205962b0938),ICMP,ObjectId(5e280b0e3186f205962b08d2),2020-01-22T08:42:54.523Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
